nome,codigo,preço
CABO TC-IPH 20W,CBO-7585,"R$ 8,00"
CABO TIPO C ALTOMEX (SOLTO),AL-7016-TY,"R$ 3,00"
CABO TPC 1M SAQUINHO,CBO-9853,"R$ 3,50"
CABO TPC 30CM,CBO-5911,"R$ 4,00"
CABO TUBETE 1M IPH,CBO-5862,"R$ 7,00"
CABO TUBETE 2M IPH,CBO-5592,"R$ 8,00"
CABO TUBETE 3M-IPHONE,CBO-20260,"R$ 12,30"
CABO TUBETE IPH,CBO-5597,"R$ 6,20"
CABO TUBETE IPH 1M,CBO-20248,"R$ 6,50"
CABO TUBETE IPH 2M,CBO-20321,"R$ 8,00"
CABO TUBETE RETO T-C,CBO-5646,"R$ 6,20"
CABO USB,BA-CBO0016,"R$ 7,00"
CABO USB 1M IPHONE,BA-CBO-7418,"R$ 4,20"
CABO USB 2M V8,CBO-5995,"R$ 7,50"
CABO USB 2M V8 INOVA,CBO-8442,"R$ 7,00"
CABO USB BASIKE PRIME TPC 2M,CBO-7568,"R$ 6,50"
CABO USB BASIKE PRIME V8 2M,CBO-7567,"R$ 6,00"
CABO USB BASIKE V8 1M,BA-CBO9976 ,"R$ 5,50"
CABO USB I6 INOVA,CBO-6012,"R$ 7,00"
CABO USB I6 INOVA,CBO-6098,"R$ 8,00"
CABO USB INOVA 2M,CBO-5996,"R$ 8,00"
CABO USB INOVA IPH 1M,CBO-6010,"R$ 6,50"
CABO USB INOVA TIPO C 1M,CBO-20290,"R$ 7,00"
CABO USB IPH,CBO-20201,"R$ 6,00"
CABO USB IPH/V8,BA-CBO9989,"R$ 7,00"
CABO USB IPHONE 1M,CBO-20291,"R$ 8,00"
CABO USB IPHONE 1M,CBO-20294,"R$ 6,00"
CABO USB MACHO/FEMEA,CBO-7609,"R$ 4,00"
CABO USB SAQUINHO TIPO C,CBO-9823,"R$ 3,50"
CABO USB T-C 1M,CBO-7424,"R$ 4,20"
CABO USB TIPO C 1M,CBO-20293,"R$ 6,00"
CABO USB TIPO C 1M INOVA,CBO-6009,"R$ 5,50"
CABO USB TIPO C 2M,CBO-6011,"R$ 7,00"
CABO USB TIPO C 2M,CBO-8408,"R$ 5,00"
CABO USB TIPO C INOVA,CBO-5737,"R$ 5,50"
CABO USB TIPO C KIVE,KV-019,"R$ 5,00"
CABO USB TIPO C/V8-1M,BA-CBO9990,"R$ 7,00"
CABO USB V8 1M,CBO-20289,"R$ 7,00"
CABO USB V8 1M,BA-CBO-7422,"R$ 4,00"
CABO USB V8 1M,CBO-6008,"R$ 5,50"
CABO USB V8 1M BASIKE,BA-CBO-7416,"R$ 4,00"
CABO USB V8 1M INOVA,CBO-6006,"R$ 4,80"
CABO USB V8 INOVA,CBO-7416,"R$ 4,00"
CABO V8 1M,CBO-5713,"R$ 4,00"
CABO V8 1M,CBO-5900 ,"R$ 4,50"
CABO V8 1M (SAQUINHO),CBO-5961,"R$ 3,00"
CABO V8 1M (SAQUINHO),CBO-9852,"R$ 3,00"
CABO V8 2M,CBO-8407,"R$ 7,00"
CABO V8 30CM,CBO-5910,"R$ 4,00"
CABO V8 BASIKE PRIME 1M,CBO-7564,"R$ 5,50"
CAIXA DE SOM BT,PEI-S502,"R$ 75,00"
CAIXA DE SOM BT,PEI-S501,"R$ 50,00"
CALCULADORA CIENTIFICA,CALC-30109,"R$ 12,00"
CALCULADORA ELETRÔNICA,CALC-7061,"R$ 15,00"
CALCULADORA ELETRÔNICA,CALC-7490,"R$ 20,00"
CALCULADORA ELETRÔNICA,CALC-7089,"R$ 7,00"
CALCULADORA ELETRÔNICA,CALC-7492,"R$ 8,00"
CALCULADORA ELETRÔNICA,CALC-7080,"R$ 13,00"
CAMERA DE SEGURANÇA,CAM-7276,"R$ 150,00"
CAMERA DE SEGURANÇA,CAM-7272,"R$ 71,00"
CAMERA DE VIGILANCIA VR CAM,KAP-V380,"R$ 60,00"
CAMERA ESPIÃ ALTOMEX A9,A9,"R$ 25,00"
CÂMERA SMART WIFI,KV-20158,"R$ 68,00"
CAMERA WIFI,KV-20156,"R$ 170,00"
CAMERA WIFI,KV-5703,"R$ 90,00"
CAMERA WIFI,KV-5702,"R$ 90,00"
CAMINHÃO CAIXA DE SOM,WS-528,"R$ 90,00"
CAMINHONETE CAIXA DE SOM,WS-538,"R$ 82,00"
CAMPAINHA SEM FIO,SD-172A,"R$ 25,00"
CAMPAINHA SEM FIO,SD-174A,"R$ 25,00"
CAMPAINHA SEM FIO:,SD-173A,"R$ 25,00"
CANECA DE CERVEJA,CUP-999,"R$ 40,00"
CANETA TOUCH A-P18,A-P18,"R$ 3,00"
CARREGADOR 12V (ADAPTADOR PARA FITA DE LED),KAP-1180,"R$ 9,00"
CARREGADOR 20W,PEI-PD001,"R$ 20,00"
CARREGADOR 20W TURBO INOVA V8,CAR-2175,"R$ 13,00"
CARREGADOR 3.1A V8,CAR-G5025,"R$ 10,00"
CARREGADOR 3.1A V8 BASIKE,BA-CAR9014 3.1A V8,"R$ 11,50"
CARREGADOR 3.1A V8 BASIKE (CS) CAR-9014,(CS) CAR-9014,"R$ 13,50"
CARREGADOR 5.1A TPC ALTOMEX,AL-9013-TY,"R$ 5,00"
CARREGADOR BASIKE,BA-CAR0045,"R$ 25,00"
CARREGADOR BASIKE,BA-CAR0047,"R$ 20,00"
CARREGADOR BASIKE 2USB V8,BA-CAR0042,"R$ 25,00"
CARREGADOR BASIKE 3.1A,BA-CAR5216 3.1A ,"R$ 9,00"
